"","eventID","occurrenceID","scientificName","acceptedNameUsageID","recordedBy","taxonRank","organismQuantityType","basisOfRecord"
"1","1_01/12/1929","1_01/12/1929_A12","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"2","1_01/12/1929","1_01/12/1929_A60","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"3","1_01/12/1929","1_01/12/1929_A63","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"4","1_01/12/1929","1_01/12/1929_A75","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"5","3_01/12/1929","3_01/12/1929_A55","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"6","3_01/12/1929","3_01/12/1929_A67","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"7","3_01/12/1929","3_01/12/1929_A76","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"8","3_01/12/1929","3_01/12/1929_A79","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"9","3_01/12/1929","3_01/12/1929_A91","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"10","1_01/12/1929","1_01/12/1929_A147","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"11","1_01/12/1929","1_01/12/1929_A150","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"12","2_13/02/1930","2_13/02/1930_A131","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"13","3_01/12/1929","3_01/12/1929_A106","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"14","3_01/12/1929","3_01/12/1929_A121","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"15","3_01/12/1929","3_01/12/1929_A130","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"16","1_01/12/1929","1_01/12/1929_A132","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"17","1_01/12/1929","1_01/12/1929_A54","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"18","1_01/12/1929","1_01/12/1929_A81","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"19","1_01/12/1929","1_01/12/1929_A42","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"20","1_01/12/1929","1_01/12/1929_A27","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"21","1_01/12/1929","1_01/12/1929_A129","Iris virginica","ITIS:43197","Edgar Anderson","Species","individuals","Human observation"
"22","1_01/12/1929","1_01/12/1929_A18","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"23","2_13/02/1930","2_13/02/1930_A77","Iris versicolor","ITIS:43196","Edgar Anderson","Species","individuals","Human observation"
"24","2_13/02/1930","2_13/02/1930_A2","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"25","2_13/02/1930","2_13/02/1930_A32","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
