amostragem;amostra;site;lat;lon;date;Species;Sepal.Lenght;Sepal.Width;Petal.Lenght;Petal.Width
A15;A12;1;48.935966;-64.840984;01/12/1929;Iris_setosa;4.8;3.4;1.6;0.2
A54;A60;1;48.935966;-64.840984;01/12/1929;Iris_versicolor;5.2;2.7;3.9;1.4
A55;A63;1;48.935966;-64.840984;01/12/1929;Iris_versicolor;6;2.2;4;1
A59;A75;1;48.935966;-64.840984;01/12/1929;Iris_versicolor;6.4;2.9;4.3;1.3
A85;A55;3;48.329837;-65.512333;01/12/1929;Iris_versicolor;6.5;2.8;4.6;1.5
A89;A67;3;48.329837;-65.512333;01/12/1929;Iris_versicolor;5.6;3;4.5;1.5
A92;A76;3;48.329837;-65.512333;01/12/1929;Iris_versicolor;6.6;3;4.4;1.4
A93;A79;3;48.329837;-65.512333;01/12/1929;Iris_versicolor;6;2.9;4.5;1.5
A97;A91;3;48.329837;-65.512333;01/12/1929;Iris_versicolor;5.5;2.6;4.4;1.2
A116;A147;1;48.935966;-64.840984;01/12/1929;Iris_virginica;6.3;2.5;5;1.9
A117;A150;1;48.935966;-64.840984;01/12/1929;Iris_virginica;5.9;3;5.1;1.8
A128;A131;2;48.540502;-64.766512;13/02/1930;Iris_virginica;7.4;2.8;6.1;1.9
A136;A106;3;48.329837;-65.512333;01/12/1929;Iris_virginica;7.6;3;6.6;2.1
A141;A121;3;48.329837;-65.512333;01/12/1929;Iris_virginica;6.9;3.2;5.7;2.3
A144;A130;3;48.329837;-65.512333;01/12/1929;Iris_virginica;7.2;3;5.8;1.6
A111;A132;1;48.935966;-64.840984;01/12/1929;Iris_virginica;7.9;3.8;6.4;2
 A52 ;A54;1;48.935966;-64.840984;01/12/1929;Iris_versicolor;5.5;2.3;4;1.3
 A61 ;A81;1;48.935966;-64.840984;01/12/1929;Iris_versicolor;5.5;2.4;3.8;1.1
 A9 ;A42;1;48.935966;-64.840984;01/12/1929;Iris_setosa;4.5;2.3;1.3;0.3
 A4 ;A27;1;48.935966;-64.840984;01/12/1929;Iris_setosa;5;3.4;1.6;0.4
 A110;A129;1;48.935966;-64.840984;01/12/1929;Iris_virginica;6.4;2.8;5.6;2.1
 A1 ;A18;1;48.935966;-64.840984;01/12/1929;Iris_setosa;5.1;3.5;1.4;0.3
 A76 ;A77;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;6.8;2.8;4.8;1.4
 A29 ;A2;2;48.540502;-64.766512;13/02/1930;Iris_setosa;4.9;3;1.4;0.2
 A22 ;A32;2;48.540502;-64.766512;13/02/1930;Iris_setosa;5.4;3.4;1.5;0.4
 A75 ;A74;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;6.1;2.8;4.7;1.2
 A130;A137;2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.3;3.4;5.6;2.4
 A121;A110;2;48.540502;-64.766512;13/02/1930;Iris_virginica;7.2;3.6;6.1;2.5
 A42;A43;3;48.329837;-65.512333;01/12/1929;Iris_setosa;4.4;3.2;1.3;0.2
 A142;A124;3;48.329837;-65.512333;01/12/1929;Iris_virginica;6.3;2.7;4.9;1.8
A8;A39;1;48.935966;-64.840984;01/12/1929;Iris_setosa;4.4;3;1.3;0.2
A32;A39;2;48.540502;-64.766512;13/02/1930;Iris_setosa;5.4;3.7;1.5;0.2
A36;A25;3;48.329837;-65.512333;01/12/1929;Iris_setosa;4.8;3.4;1.9;0.2
A39;A34;3;48.329837;-65.512333;01/12/1929;Iris_setosa;5.5;4.2;1.4;0.2
A44;A49;3;48.329837;-65.512333;01/12/1929;Iris_setosa;5.3;3.7;1.5;0.2
A46;A4;3;48.329837;-65.512333;01/12/1929;Iris_setosa;4.6;3.1;1.5;0.2
A53;A57;1;48.935966;-64.840984;01/12/1929;Iris_versicolor;6.3;3.3;4.7;1.6
A56;A66;1;48.935966;-64.840984;01/12/1929;Iris_versicolor;6.7;3.1;4.4;1.4
A74;A71;2;48.540502;-64.766512;13/02/1930;Iris_versicolor;5.9;3.2;4.8;1.8
A104;A111;1;48.935966;-64.840984;01/12/1929;Iris_virginica;6.5;3.2;5.1;2
A113;A138;1;48.935966;-64.840984;01/12/1929;Iris_virginica;6.4;3.1;5.5;1.8
A119;A104;2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.3;2.9;5.6;1.8
A127;A128;2;48.540502;-64.766512;13/02/1930;Iris_virginica;6.1;3;4.9;1.8
A132;A143;2;48.540502;-64.766512;13/02/1930;Iris_virginica;5.8;2.7;5.1;1.9
A150;A148;3;48.329837;-65.512333;01/12/1929;Iris_virginica;6.5;3;5.2;2
A12;A3;1;48.935966;-64.840984;01/12/1929;Iris_setosa;4.7;3.2;1.3;0.2
A31;A8;2;48.540502;-64.766512;13/02/1930;Iris_setosa;5;3.4;1.5;0.2
A38;A31;3;48.329837;-65.512333;01/12/1929;Iris_setosa;4.8;3.1;1.6;0.2
