"id";"scientific.name";"accepted.name";"family";"taxon.rank";"taxon.status";"search.str";"threat.status";"notes";"original.search";"life.form"
"1";79882;"Pulchranthus congestus (Lindau) V.M.Baum";NA;"Acanthaceae";"species";"accepted";"Pulchranthus congestus";NA;"was misspelled";"Pulchranthus_congestus";"Erva"
"2";84051;"Nautilocalyx pictus (Hook.) Sprague";NA;"Gesneriaceae";"species";"accepted";"Nautilocalyx pictus";NA;"was misspelled";"Nautilocalyx_pictus";"Erva"
"3";24465;"Geophila cordifolia Miq.";NA;"Rubiaceae";"species";"accepted";"Geophila cordifolia";NA;"was misspelled";"Geophila_cordifolia";"Erva"
"4";21996;"Dracontium longipes Engl.";NA;"Araceae";"species";"accepted";"Dracontium longipes";NA;"was misspelled";"Dracontium_longipes";"Erva"
"5";33836;"Dieffenbachia elegans A.M.E.Jonker & Jonker";NA;"Araceae";"species";"accepted";"Dieffenbachia elegans";NA;"was misspelled";"Dieffenbachia_elegans";"Erva"
"6";34289;"Bromelia tubulosa L.B.Sm.";NA;"Bromeliaceae";"species";"accepted";"Bromelia tubulosa";NA;"was misspelled";"Bromelia_tubulosa";"Erva"
"7";NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Disteganthus_Lateralis";NA
"8";34446;"Pitcairnia sprucei Baker";NA;"Bromeliaceae";"species";"accepted";"Pitcairnia sprucei";NA;"was misspelled|replaced synonym";"Pepinia_sprucei";"Erva"
"9";110645;"Costus arabicus L.";NA;"Costaceae";"species";"accepted";"Costus arabicus";NA;"was misspelled";"Costus_arabicus";"Erva"
"10";110661;"Costus sprucei Maas";NA;"Costaceae";"species";"accepted";"Costus sprucei";NA;"was misspelled";"Costus_sprucei";"Erva"
"11";22608;"Cyclanthus bipartitus Poit. ex A.Rich.";NA;"Cyclanthaceae";"species";"accepted";"Cyclanthus bipartitus";NA;"was misspelled";"Cyclanthus_bipartitus";"Erva"
"12";22612;"Calyptrocarya bicolor (H.Pfeiff.) T.Koyama";NA;"Cyperaceae";"species";"accepted";"Calyptrocarya bicolor";NA;"was misspelled";"Calyptrocarya_bicolor";"Erva"
"13";7160;"Calyptrocarya glomerulata (Brongn.) Urb.";NA;"Cyperaceae";"species";"accepted";"Calyptrocarya glomerulata";NA;"was misspelled";"Calyptrocarya_glomerulata";"Erva"
"14";22613;"Calyptrocarya poeppigiana Kunth";NA;"Cyperaceae";"species";"accepted";"Calyptrocarya poeppigiana";NA;"was misspelled";"Calyptrocarya_poeppigiana";"Erva"
"15";35006;"Diplasia karatifolia Rich. in Pers.";NA;"Cyperaceae";"species";"accepted";"Diplasia karatifolia";NA;"was misspelled|replaced synonym";"Diplasia_karataefolia";"Erva"
"16";7220;"Hypolytrum schraderianum Nees";NA;"Cyperaceae";"species";"accepted";"Hypolytrum schraderianum";NA;"was misspelled";"Hypolytrum_schraderianum";"Erva"
"17";35119;"Mapania sylvatica Aubl.";NA;"Cyperaceae";"species";"accepted";"Mapania sylvatica";NA;"was misspelled";"Mapania_sylvatica";"Erva"
"18";35135;"Pleurostachys sparsiflora Kunth";NA;"Cyperaceae";"species";"accepted";"Pleurostachys sparsiflora";NA;"was misspelled";"Pleurostachys_sparsiflora";"Erva"
"19";7315;"Scleria secans (L.) Urb.";NA;"Cyperaceae";"species";"accepted";"Scleria secans";NA;"was misspelled";"Scleria_secans";"Erva"
"20";136709;"Heliconia acuminata L.C.Rich.";NA;"Heliconiaceae";"species";"accepted";"Heliconia acuminata";NA;"was misspelled";"Heliconia_acuminata";"Erva"
"21";7962;"Heliconia psittacorum L.f.";NA;"Heliconiaceae";"species";"accepted";"Heliconia psittacorum";NA;"was misspelled";"Heliconia_psittacorum";"Erva"
"22";138099;"Goeppertia altissima (Poepp. & Endl.) Borchs. & S. Suárez";NA;"Marantaceae";"species";"accepted";"Goeppertia altissima";NA;"was misspelled|replaced synonym";"Calathea_altissima";"Erva"
"23";138596;"Goeppertia cannoides (Nicolson, Steyerm. & Sivad.) Borchs. & S.Suárez";NA;"Marantaceae";"species";"accepted";"Goeppertia cannoides";NA;"was misspelled|replaced synonym";"Calathea_cannoides";"Erva"
"24";139016;"Goeppertia mansonis (Körn.) Borchs. & S. Suárez";NA;"Marantaceae";"species";"accepted";"Goeppertia mansonis";NA;"was misspelled|replaced synonym";"Calathea_mansonis";"Erva"
"25";139147;"Goeppertia panamensis (Rowlee ex Standl.) Borchs. & S.Suárez";NA;"Marantaceae";"species";"accepted";"Goeppertia panamensis";NA;"was misspelled|replaced synonym";"Calathea_panamensis";"Erva"
"26";36775;"Ischnosiphon arouma (Aubl.) Körn.";NA;"Marantaceae";"species";"accepted";"Ischnosiphon arouma";NA;"was misspelled";"Ischnosiphon_arouma";"Erva"
"27";9346;"Ischnosiphon gracilis (Rudge) Körn.";NA;"Marantaceae";"species";"accepted";"Ischnosiphon gracilis";"LC";"was misspelled";"Ischnosiphon_gracilis";"Bambu|Erva"
"28";23658;"Ischnosiphon killipii J.F.Macbr.";NA;"Marantaceae";"species";"accepted";"Ischnosiphon killipii";NA;"was misspelled";"Ischnosiphon_killipii";"Bambu|Erva|Subarbusto"
"29";23657;"Ischnosiphon hirsutus Petersen";NA;"Marantaceae";"species";"accepted";"Ischnosiphon hirsutus";NA;"was misspelled";"Ischnosiphon_hirsutus";"Erva"
"30";36783;"Ischnosiphon martianus Eichler ex Petersen";NA;"Marantaceae";"species";"accepted";"Ischnosiphon martianus";NA;"was misspelled";"Ischnosiphon_martianus";"Erva"
"31";23662;"Ischnosiphon puberulus Loes.";NA;"Marantaceae";"species";"accepted";"Ischnosiphon puberulus";NA;"was misspelled";"Ischnosiphon_puberulus";"Bambu|Erva|Subarbusto"
"32";NA;NA;NA;NA;NA;NA;NA;NA;"not found";"Ischnosiphon_verruculosus";NA
"33";23669;"Monotagma tomentosum K.Schum. ex Loes.";NA;"Marantaceae";"species";"accepted";"Monotagma tomentosum";NA;"was misspelled";"Monotagma_tomentosum";"Erva"
"34";137903;"Monotagma breviscapum Hagberg & R.Erikss.";NA;"Marantaceae";"species";"accepted";"Monotagma breviscapum";NA;"was misspelled";"Monotagma_breviscapum";"Erva"
