scientificname;genero;familia;genus.GBOTB;spp.GBOTB
Pulchranthus_congestus;Pulchranthus;Acanthaceae;;
Nautilocalyx_pictus;Nautilocalyx;Gesneriaceae;;
Geophila_cordifolia;Geophila;Rubiaceae;;
Dracontium_longipes;Dracontium;Araceae;;
Dieffenbachia_elegans;Dieffenbachia;Araceae;;
Bromelia_tubulosa;Bromelia;Bromeliaceae;;
Pitcairnia_sprucei;Pitcairnia;Bromeliaceae;;
Costus_arabicus;Costus;Costaceae;;
Costus_sprucei;Costus;Costaceae;;
Cyclanthus_bipartitus;Cyclanthus;Cyclanthaceae;;
Calyptrocarya_bicolor;Calyptrocarya;Cyperaceae;;
Calyptrocarya_glomerulata;Calyptrocarya;Cyperaceae;;
Calyptrocarya_poeppigiana;Calyptrocarya;Cyperaceae;;
Diplasia_karatifolia;Diplasia;Cyperaceae;;
Hypolytrum_schraderianum;Hypolytrum;Cyperaceae;;
Mapania_sylvatica;Mapania;Cyperaceae;;
Pleurostachys_sparsiflora;Pleurostachys;Cyperaceae;;
Scleria_secans;Scleria;Cyperaceae;;
Heliconia_acuminata;Heliconia;Heliconiaceae;;
Heliconia_psittacorum;Heliconia;Heliconiaceae;;
Goeppertia_altissima;Goeppertia;Marantaceae;;
Goeppertia_cannoides;Goeppertia;Marantaceae;;
Goeppertia_mansonis;Goeppertia;Marantaceae;;
Goeppertia_panamensis;Goeppertia;Marantaceae;;
Ischnosiphon_arouma;Ischnosiphon;Marantaceae;;
Ischnosiphon_gracilis;Ischnosiphon;Marantaceae;;
Ischnosiphon_killipii;Ischnosiphon;Marantaceae;;
Ischnosiphon_hirsutus;Ischnosiphon;Marantaceae;;
Ischnosiphon_martianus;Ischnosiphon;Marantaceae;;
Ischnosiphon_puberulus;Ischnosiphon;Marantaceae;;
Monotagma_tomentosum;Monotagma;Marantaceae;;
Monotagma_breviscapum;Monotagma;Marantaceae;;
Monotagma_densiflorum;Monotagma;Marantaceae;;
Monotagma_plurispicatum;Monotagma;Marantaceae;;
Monotagma_spicatum;Monotagma;Marantaceae;;
Monotagma_vaginatum;Monotagma;Marantaceae;;
Palmorchis_sobralioides;Palmorchis;Orchidaceae;;
Aspidogyne_stigmatoptera;Aspidogyne;Orchidaceae;;
Ichnanthus_panicoides;Ichnanthus;Poaceae;;
Olyra_latifolia;Olyra;Poaceae;;
Pariana_campestris;Pariana;Poaceae;;
Pariana_radiciflora;Pariana;Poaceae;;
Rapatea_paludosa;Rapatea;Rapateaceae;;
Spathanthus_unilateralis;Spathanthus;Rapateaceae;;
Saxofridericia_aculeata;Saxofridericia;Rapateaceae;;
Phenakospermum_guyannense;Phenakospermum;Strelitziaceae;;
Thurnia_sphaerocephala;Thurnia;Thurniaceae;;
Renealmia_floribunda;Renealmia;Zingiberaceae;;
