"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",35.105883,24.779309,NA,"Carcharhinus longimanus"
"gbif",-149.934432,-17.401325,NA,"Carcharhinus longimanus"
"gbif",35.542408,24.968207,NA,"Carcharhinus longimanus"
"gbif",34.833333,25.3,NA,"Carcharhinus longimanus"
"gbif",-156.052111,19.586223,NA,"Carcharhinus longimanus"
"gbif",35.833333,24.95,NA,"Carcharhinus longimanus"
"gbif",34.841173,26.313472,NA,"Carcharhinus longimanus"
"gbif",34.847031,26.310972,NA,"Carcharhinus longimanus"
"gbif",34.860918,26.302251,NA,"Carcharhinus longimanus"
"gbif",35.870249,24.932596,NA,"Carcharhinus longimanus"
"gbif",34.859361,25.309886,NA,"Carcharhinus longimanus"
"gbif",36.50523,24.09488,NA,"Carcharhinus longimanus"
"gbif",155.461932,-28.041466,NA,"Carcharhinus longimanus"
"gbif",-81.6005,3.999989,NA,"Carcharhinus longimanus"
"gbif",-81.602544,4.00766,NA,"Carcharhinus longimanus"
"gbif",155.164075,-27.621916,NA,"Carcharhinus longimanus"
"gbif",-76.543433,24.414613,NA,"Carcharhinus longimanus"
"gbif",-19.35,4.8,NA,"Carcharhinus longimanus"
"gbif",-20.5,5.1,NA,"Carcharhinus longimanus"
"gbif",35.87187,24.93168,NA,"Carcharhinus longimanus"
"gbif",35.86612,24.93814,NA,"Carcharhinus longimanus"
"gbif",38.467429,20.060235,NA,"Carcharhinus longimanus"
"gbif",35.823389,23.508519,NA,"Carcharhinus longimanus"
"gbif",35.871333,25.306167,NA,"Carcharhinus longimanus"
"gbif",-156.050627,19.613058,NA,"Carcharhinus longimanus"
"gbif",-156.033672,19.540282,NA,"Carcharhinus longimanus"
"gbif",-156.016361,19.521303,NA,"Carcharhinus longimanus"
"gbif",34.86007,25.31195,NA,"Carcharhinus longimanus"
"gbif",36.351462,24.573876,NA,"Carcharhinus longimanus"
"gbif",35.856627,24.923806,NA,"Carcharhinus longimanus"
"gbif",34.86139,25.30659,NA,"Carcharhinus longimanus"
"gbif",35.871333,24.931333,NA,"Carcharhinus longimanus"
"gbif",34.8517,25.299999,NA,"Carcharhinus longimanus"
"gbif",35.200982,25.108115,NA,"Carcharhinus longimanus"
"gbif",35.995,24.91518,NA,"Carcharhinus longimanus"
"gbif",34.860616,25.311915,NA,"Carcharhinus longimanus"
"gbif",34.86051,25.311682,NA,"Carcharhinus longimanus"
"gbif",34.862471,25.306566,NA,"Carcharhinus longimanus"
"gbif",34.092266,27.250115,NA,"Carcharhinus longimanus"
"gbif",34.86208,25.306155,NA,"Carcharhinus longimanus"
"gbif",34.844491,26.312195,NA,"Carcharhinus longimanus"
"gbif",34.863439,25.308377,NA,"Carcharhinus longimanus"
"gbif",34.8604,25.3096,NA,"Carcharhinus longimanus"
"gbif",34.683518,25.4699,NA,"Carcharhinus longimanus"
"gbif",34.798923,25.243209,NA,"Carcharhinus longimanus"
"gbif",34.860627,25.308505,NA,"Carcharhinus longimanus"
"gbif",34.862135,25.308548,NA,"Carcharhinus longimanus"
"gbif",34.862606,25.306147,NA,"Carcharhinus longimanus"
"gbif",34.862457,25.309168,NA,"Carcharhinus longimanus"
"gbif",-156.1,19.7,NA,"Carcharhinus longimanus"
"gbif",52.6539,3.486333,NA,"Carcharhinus longimanus"
"gbif",-148.27889,-15.00889,NA,"Carcharhinus longimanus"
"gbif",-70.461,40.948,NA,"Carcharhinus longimanus"
"gbif",35.86347,24.93731,NA,"Carcharhinus longimanus"
"gbif",35.87091,24.93118,NA,"Carcharhinus longimanus"
"gbif",34.8471,26.31218,NA,"Carcharhinus longimanus"
"gbif",34.86401,26.30084,NA,"Carcharhinus longimanus"
"gbif",34.86227,26.30126,NA,"Carcharhinus longimanus"
"gbif",34.86317,26.30213,NA,"Carcharhinus longimanus"
"gbif",34.84511,26.31454,NA,"Carcharhinus longimanus"
"gbif",34.859745,25.308985,NA,"Carcharhinus longimanus"
"gbif",-74.561609,23.963528,NA,"Carcharhinus longimanus"
"gbif",-74.55992,24.090734,NA,"Carcharhinus longimanus"
"gbif",35.854877,23.339642,NA,"Carcharhinus longimanus"
"gbif",-76.687531,34.629798,NA,"Carcharhinus longimanus"
"gbif",34.8617,25.3083,10.335,"Carcharhinus longimanus"
"gbif",34.86237,25.30672,NA,"Carcharhinus longimanus"
"gbif",34.852558,26.30881,NA,"Carcharhinus longimanus"
"gbif",34.69488,25.430022,NA,"Carcharhinus longimanus"
"gbif",35.90381,24.9577,NA,"Carcharhinus longimanus"
"gbif",36.24536,23.56352,NA,"Carcharhinus longimanus"
"gbif",35.236506,25.195483,NA,"Carcharhinus longimanus"
"gbif",34.862338,25.305646,NA,"Carcharhinus longimanus"
"gbif",34.859077,25.3129,NA,"Carcharhinus longimanus"
"gbif",-21.55,9.95,NA,"Carcharhinus longimanus"
"gbif",-20.92,9.58,NA,"Carcharhinus longimanus"
"gbif",-20.85,9.52,NA,"Carcharhinus longimanus"
"gbif",-20.85,8.15,NA,"Carcharhinus longimanus"
"gbif",-20.12,7.75,NA,"Carcharhinus longimanus"
"gbif",-19.32,7.32,NA,"Carcharhinus longimanus"
"gbif",-19.22,7.25,NA,"Carcharhinus longimanus"
"gbif",-19.13,7.32,NA,"Carcharhinus longimanus"
"gbif",-19.1,7.18,NA,"Carcharhinus longimanus"
"gbif",-19,7.13,NA,"Carcharhinus longimanus"
"gbif",-18.95,7.05,NA,"Carcharhinus longimanus"
"gbif",-18.77,6.77,NA,"Carcharhinus longimanus"
"gbif",-18.62,6.35,NA,"Carcharhinus longimanus"
"gbif",34.864063,26.302412,NA,"Carcharhinus longimanus"
"gbif",-75.337088,24.129747,NA,"Carcharhinus longimanus"
"gbif",-18.82,6.17,NA,"Carcharhinus longimanus"
"gbif",-18.88,6.03,NA,"Carcharhinus longimanus"
"gbif",-19.58,6.32,NA,"Carcharhinus longimanus"
"gbif",-20.15,6.07,NA,"Carcharhinus longimanus"
"gbif",-20.63,7.45,NA,"Carcharhinus longimanus"
"gbif",-17.95,6.4,NA,"Carcharhinus longimanus"
"gbif",34.86036,25.31087,NA,"Carcharhinus longimanus"
"gbif",34.786643,26.222815,NA,"Carcharhinus longimanus"
"gbif",34.84773,26.31116,NA,"Carcharhinus longimanus"
"gbif",34.86367,26.30211,NA,"Carcharhinus longimanus"
"gbif",34.79224,27.104984,NA,"Carcharhinus longimanus"
"gbif",34.8644,26.3006,12.3,"Carcharhinus longimanus"
"gbif",34.8644,26.3006,15.55,"Carcharhinus longimanus"
"gbif",34.846001,26.307095,NA,"Carcharhinus longimanus"
"gbif",34.556451,27.142969,NA,"Carcharhinus longimanus"
"gbif",35.201737,25.2605,NA,"Carcharhinus longimanus"
"gbif",-48.499444,-27.440278,NA,"Carcharhinus longimanus"
"gbif",-23.005371,10.595821,NA,"Carcharhinus longimanus"
"gbif",-81.6511,7.45433,9.5,"Carcharhinus longimanus"
"gbif",33.811607,27.257896,NA,"Carcharhinus longimanus"
"gbif",-17.07103,-8.43087,NA,"Carcharhinus longimanus"
"gbif",-17.07345,-8.42918,NA,"Carcharhinus longimanus"
"gbif",115.456,-8.71548,10,"Carcharhinus longimanus"
"gbif",34.8267,25.5722,19.8,"Carcharhinus longimanus"
"gbif",34.7725,25.3462,7.7,"Carcharhinus longimanus"
"gbif",34.8267,25.5722,19.895,"Carcharhinus longimanus"
"gbif",34.845972,26.312398,NA,"Carcharhinus longimanus"
"gbif",34.845596,26.314088,NA,"Carcharhinus longimanus"
"gbif",34.848343,26.315319,NA,"Carcharhinus longimanus"
"gbif",34.857928,26.314298,NA,"Carcharhinus longimanus"
"gbif",34.8463,26.3139,15.5,"Carcharhinus longimanus"
"gbif",34.8463,26.3139,16,"Carcharhinus longimanus"
"gbif",34.8634,26.3002,17.5,"Carcharhinus longimanus"
"gbif",35.8717,24.9314,13.5,"Carcharhinus longimanus"
"gbif",35.8717,24.9314,10.5,"Carcharhinus longimanus"
"gbif",35.8717,24.9314,14.5,"Carcharhinus longimanus"
"gbif",35.8333,24.95,6.28,"Carcharhinus longimanus"
"gbif",35.8333,24.95,12.295,"Carcharhinus longimanus"
"gbif",34.8267,25.5722,12.485,"Carcharhinus longimanus"
"gbif",159.073,-31.5479,5,"Carcharhinus longimanus"
"gbif",116.026,-8.35673,10,"Carcharhinus longimanus"
"gbif",116.023,-8.35826,10,"Carcharhinus longimanus"
"gbif",115.683,-8.34881,9,"Carcharhinus longimanus"
"gbif",72.8392,3.46831,13.5,"Carcharhinus longimanus"
"gbif",-156.696,20.927,5,"Carcharhinus longimanus"
"gbif",35.8594,24.3671,16.13,"Carcharhinus longimanus"
"gbif",-72.6087,39.1343,NA,"Carcharhinus longimanus"
"gbif",35.56368,-23.8527,NA,"Carcharhinus longimanus"
"gbif",114.164,-21.9074,7,"Carcharhinus longimanus"
"gbif",35.5473,25.0832,NA,"Carcharhinus longimanus"
"gbif",95.2603,5.87895,9.125,"Carcharhinus longimanus"
"gbif",-89.5189,-0.77835,11.695,"Carcharhinus longimanus"
"gbif",145.782,-15.5159,14.815,"Carcharhinus longimanus"
"gbif",151.426,-11.943,NA,"Carcharhinus longimanus"
"gbif",34.8642,26.3006,14.785,"Carcharhinus longimanus"
"gbif",72.8126,4.12166,12.3,"Carcharhinus longimanus"
"gbif",72.7308,4.21586,12.2,"Carcharhinus longimanus"
"gbif",38.286667,-28.862222,NA,"Carcharhinus longimanus"
"gbif",72.7529,4.09601,15.3,"Carcharhinus longimanus"
"gbif",145.786,-15.379,9,"Carcharhinus longimanus"
"gbif",146.256,-16.5898,11.5,"Carcharhinus longimanus"
"gbif",146.256,-16.5898,8.5,"Carcharhinus longimanus"
"gbif",73.4927,4.27244,10.645,"Carcharhinus longimanus"
"gbif",-75.453801,24.25213,NA,"Carcharhinus longimanus"
"gbif",73.0368,3.21529,9,"Carcharhinus longimanus"
"gbif",73.0368,3.21529,15,"Carcharhinus longimanus"
"gbif",-4.033333,5.316667,NA,"Carcharhinus longimanus"
"gbif",73.458,4.12452,9.9,"Carcharhinus longimanus"
"gbif",34.8422,26.3152,17.5,"Carcharhinus longimanus"
"gbif",34.889536,25.289796,NA,"Carcharhinus longimanus"
"gbif",72.9974,4.26179,10.625,"Carcharhinus longimanus"
"gbif",-11.750139,1.450139,NA,"Carcharhinus longimanus"
"gbif",55.566803,-12.366806,NA,"Carcharhinus longimanus"
"gbif",-11.766806,-1.283472,NA,"Carcharhinus longimanus"
"gbif",-156.441,20.654,5,"Carcharhinus longimanus"
