scientificname;genero;familia
Pulchranthus_congestus;Pulchranthus;Acanthaceae
Nautilocalyx_pictus;Nautilocalyx;Gesneriaceae
Geophila_cordifolia;Geophila;Rubiaceae
Dracontium_longipes;Dracontium;Araceae
Dieffenbachia_elegans;Dieffenbachia;Araceae
Bromelia_tubulosa;Bromelia;Bromeliaceae
Disteganthus_Lateralis;Disteganthus;Bromeliaceae
Pepinia_sprucei;Pepinia;Bromeliaceae
Costus_arabicus;Costus;Costaceae
Costus_sprucei;Costus;Costaceae
Cyclanthus_bipartitus;Cyclanthus;Cyclanthaceae
Calyptrocarya_bicolor;Calyptrocarya;Cyperaceae
Calyptrocarya_glomerulata;Calyptrocarya;Cyperaceae
Calyptrocarya_poeppigiana;Calyptrocarya;Cyperaceae
Diplasia_karataefolia;Diplasia;Cyperaceae
Hypolytrum_schraderianum;Hypolytrum;Cyperaceae
Mapania_sylvatica;Mapania;Cyperaceae
Pleurostachys_sparsiflora;Pleurostachys;Cyperaceae
Scleria_secans;Scleria;Cyperaceae
Heliconia_acuminata;Heliconia;Heliconiaceae
Heliconia_psittacorum;Heliconia;Heliconiaceae
Calathea_altissima;Calathea;Marantaceae
Calathea_cannoides;Calathea;Marantaceae
Calathea_mansonis;Calathea;Marantaceae
Calathea_panamensis;Calathea;Marantaceae
Ischnosiphon_arouma;Ischnosiphon;Marantaceae
Ischnosiphon_gracilis;Ischnosiphon;Marantaceae
Ischnosiphon_killipii;Ischnosiphon;Marantaceae
Ischnosiphon_hirsutus;Ischnosiphon;Marantaceae
Ischnosiphon_martianus;Ischnosiphon;Marantaceae
Ischnosiphon_puberulus;Ischnosiphon;Marantaceae
Ischnosiphon_verruculosus;Ischnosiphon;Marantaceae
Monotagma_tomentosum;Monotagma;Marantaceae
Monotagma_breviscapum;Monotagma;Marantaceae
Monotagma_densiflorum;Monotagma;Marantaceae
Monotagma_plurispicatum;Monotagma;Marantaceae
Monotagma_spicatum;Monotagma;Marantaceae
Monotagma_vaginatum;Monotagma;Marantaceae
Palmorchis_sobralioides;Palmorchis;Orchidaceae
Ligeophila_stigmatoptera;Ligeophila;Orchidaceae
Ichnanthus_panicoides;Ichnanthus;Poaceae
Olyra_latifolia;Olyra;Poaceae
Pariana_campestris;Pariana;Poaceae
Pariana_graciles;Pariana;Poaceae
Pariana_radiciflora;Pariana;Poaceae
Rapatea_paludosa;Rapatea;Rapateaceae
Spathanthus_unilateralis;Spathanthus;Rapateaceae
Saxofridericia_subcordata;Saxofridericia;Rapateaceae
Phenakospermum_guyanense;Phenakospermum;Strelitziaceae
Thurnia_sphaerocephala;Thurnia;Thurniaceae
Renealmia_floribunda;Renealmia;Zingiberaceae
